MVC,Weight,MVC Avg,Relative Activation (%)
MVC 1,Weight 1,1488.8774572704162,99.49052235114033
MVC 2,Weight 2,1486.2530562895795,99.7226708764194
MVC 3,Weight 3,1490.8635383774986,99.14159490673991
