Value,Time
1497.75,852.0
1497.25,855.75
1497.25,858.0
1497.0,860.0
1497.25,863.0
1497.75,865.0
1497.75,867.0
1497.75,870.0
1498.0,872.0
1498.5,874.0
1498.75,877.0
1499.0,879.0
1499.5,881.0
1499.75,884.0
1499.5,886.0
1498.75,888.75
1499.25,891.0
1498.25,893.0
1498.5,897.0
1498.75,899.0
1498.75,901.0
1499.0,904.0
1498.5,906.0
1498.5,908.0
1498.25,911.0
1497.25,913.0
1496.5,915.0
1496.25,918.0
1496.75,920.0
1497.5,922.25
1497.75,925.0
1497.5,927.0
1498.25,929.75
1498.75,932.0
1498.25,934.0
1498.5,937.0
1498.5,940.0
1498.25,942.0
1498.0,945.0
1497.75,947.0
1497.75,949.0
1498.25,952.0
1499.0,954.0
1499.5,956.0
1499.25,959.0
1499.25,961.0
1499.5,963.25
1499.25,966.0
1498.5,968.0
1498.25,971.0
1497.75,973.0
1497.5,975.0
1498.0,978.0
1498.75,980.0
1499.25,983.0
1499.0,986.0
1498.5,988.0
1498.5,990.0
1498.25,993.0
1498.0,995.0
1498.25,997.25
1498.5,1000.0
1499.0,1002.0
1498.5,1005.0
1498.5,1007.0
1498.5,1009.0
1498.0,1012.0
1498.0,1014.0
1498.25,1017.0
1498.5,1019.0
1499.0,1021.0
1499.0,1025.0
1498.5,1027.0
1498.25,1030.0
1497.75,1032.0
1497.75,1034.25
1498.75,1037.0
1498.5,1039.0
1499.0,1042.0
1499.25,1044.0
1498.5,1046.75
1499.0,1049.0
1499.25,1051.0
1498.5,1054.0
1498.75,1056.0
1499.0,1058.75
1499.75,1061.0
1500.5,1063.0
1501.0,1067.0
1500.5,1069.0
1500.5,1072.0
1500.75,1074.0
1500.75,1076.0
1500.75,1079.0
1500.25,1081.0
1500.5,1084.0
1500.75,1086.0
1501.25,1088.0
1501.25,1091.0
1501.5,1093.0
1501.75,1096.0
1502.25,1098.0
1503.0,1100.0
1503.25,1103.0
1503.25,1105.0
1503.25,1108.0
1502.0,1111.0
1501.75,1113.0
1501.75,1116.0
1502.75,1118.0
1502.75,1121.0
1502.25,1123.0
1502.0,1125.25
1502.0,1128.0
1502.0,1130.0
1502.0,1133.0
1502.5,1135.0
1502.0,1137.75
1502.5,1140.0
1502.75,1142.0
1502.5,1145.0
1502.25,1147.0
1502.0,1149.75
1502.0,1153.0
1502.0,1155.0
1501.75,1158.0
1501.5,1160.0
1502.25,1163.0
1502.5,1165.0
1502.0,1167.0
1501.5,1170.0
1501.5,1172.0
1500.75,1175.0
1500.5,1177.0
1500.75,1179.0
1500.75,1182.0
1501.25,1184.0
1501.25,1187.0
1501.25,1189.0
1501.0,1191.0
1500.75,1195.0
1500.5,1197.0
1501.0,1200.0
1500.5,1202.0
1500.5,1204.0
1501.75,1207.0
1501.75,1209.0
1500.75,1212.0
1499.5,1214.0
1499.25,1216.25
1499.75,1219.0
1499.75,1221.0
1500.5,1224.0
1500.25,1226.0
1499.75,1228.75
1499.0,1231.0
1498.5,1233.0
1498.75,1236.0
1499.5,1239.0
1499.0,1242.0
1499.25,1244.0
1499.75,1246.0
1500.5,1249.0
1500.0,1251.0
1500.25,1254.0
1499.25,1256.0
1499.0,1258.0
1498.75,1261.0
1498.25,1263.0
1499.25,1266.0
1500.25,1268.0
1499.25,1270.0
1499.25,1273.0
1499.0,1275.0
1498.75,1278.0
1498.25,1281.0
1497.5,1283.0
1497.25,1286.0
1497.25,1288.0
1497.25,1291.0
1497.0,1293.0
1497.25,1295.0
1497.5,1298.0
1497.75,1300.0
1497.25,1303.0
1496.5,1305.0
1496.25,1307.5
1496.25,1310.0
1497.0,1312.0
1497.25,1315.0
1496.75,1317.0
1496.5,1319.75
1496.75,1323.0
1496.75,1325.0
1496.0,1328.0
1495.75,1330.0
1496.0,1333.0
1496.0,1335.0
1495.5,1337.0
1495.25,1340.0
1494.75,1342.0
1494.75,1345.0
1495.0,1347.0
1495.5,1349.0
1495.25,1352.0
1495.75,1354.0
1495.25,1357.0
1494.25,1359.0
1494.25,1361.0
1494.25,1364.0
1494.5,1367.0
1494.75,1370.0
1494.75,1372.0
1494.75,1374.0
1494.5,1377.0
1494.75,1379.0
1494.0,1382.0
1494.0,1384.0
1494.0,1386.0
1493.75,1389.0
1494.75,1391.0
1494.0,1394.0
1494.25,1396.0
1494.25,1398.0
1494.25,1401.0
1494.5,1403.0
1495.75,1406.0
1495.0,1409.0
1494.0,1411.0
1493.5,1414.0
1493.5,1416.0
1493.5,1419.0
1493.5,1421.0
1493.5,1423.75
1493.75,1426.0
1494.25,1428.0
1494.25,1431.0
1493.75,1433.0
1493.5,1436.0
1493.5,1438.0
1493.25,1440.0
1493.0,1443.0
1493.0,1445.0
1493.25,1448.0
1493.5,1451.0
1493.25,1453.0
1494.0,1456.0
1494.0,1458.0
1493.75,1461.0
1494.0,1463.0
1494.5,1465.0
1495.25,1468.0
1494.75,1470.0
1493.25,1473.0
1493.5,1475.0
1494.25,1477.0
1494.5,1480.0
1494.0,1482.0
1493.5,1485.0
1494.0,1487.0
1494.5,1489.0
1494.0,1492.0
1493.75,1495.0
1493.0,1498.0
1492.75,1500.0
1492.75,1502.25
1493.25,1505.0
1493.0,1507.0
1492.25,1510.0
1492.75,1512.0
1493.5,1514.25
1493.0,1517.0
1492.5,1519.0
1492.25,1522.0
1492.5,1524.0
1492.0,1527.0
1491.5,1529.0
1491.75,1531.0
1491.75,1534.0
1492.0,1537.0
1492.5,1540.0
1492.75,1542.0
1492.5,1544.0
1492.0,1547.0
1491.0,1549.0
1490.25,1552.0
1490.75,1554.0
1492.0,1556.0
1492.25,1559.0
1492.0,1561.0
1491.75,1564.0
1491.5,1566.0
1492.25,1568.0
1492.0,1571.0
1491.25,1573.0
1491.75,1576.0
1491.75,1579.0
1491.75,1581.25
1491.25,1584.0
1491.75,1586.0
1492.5,1589.0
1492.75,1591.0
1492.75,1593.25
1492.75,1596.0
1492.25,1598.0
1491.75,1601.0
1492.75,1603.0
1492.75,1605.75
1491.75,1608.0
1491.0,1610.0
1491.5,1613.0
1492.0,1615.0
1492.0,1618.0
1491.5,1620.0
1491.25,1623.0
1491.0,1626.0
1491.0,1628.0
1491.25,1631.0
1491.5,1633.0
1491.75,1635.0
1492.0,1638.0
1492.25,1640.0
1492.0,1643.0
1491.75,1645.0
1491.5,1647.0
1491.75,1650.0
1491.75,1652.0
1492.0,1655.0
1491.25,1657.0
1490.0,1659.0
1489.75,1662.0
1490.0,1665.0
1490.75,1668.0
1493.0,1670.0
1494.0,1672.0
1494.0,1675.0
1493.25,1677.0
1492.0,1680.0
1491.5,1682.0
1491.25,1684.0
1491.75,1687.0
1492.75,1689.0
1493.0,1692.0
1492.75,1694.0
1492.5,1696.25
1492.5,1699.0
1493.25,1701.0
1493.0,1704.0
1492.5,1707.0
1492.25,1709.25
1491.0,1712.0
1491.25,1714.0
1492.25,1717.0
1491.75,1719.0
1490.75,1721.75
1490.25,1724.0
1489.75,1726.0
1490.5,1729.0
1493.5,1731.0
1494.75,1734.0
1493.75,1736.0
1492.25,1738.0
1491.25,1741.0
1491.0,1743.0
1491.25,1746.0
1491.5,1748.0
1491.5,1751.0
1492.0,1754.0
1492.5,1756.0
1492.25,1759.0
1492.0,1761.0
1491.5,1763.0
1490.75,1766.0
1490.5,1768.0
1491.25,1771.0
1492.25,1773.0
1493.5,1775.0
1494.75,1778.0
1496.25,1780.0
1496.25,1783.0
1495.0,1785.0
1495.25,1787.25
1495.25,1790.0
1494.5,1793.0
1494.25,1796.0
1495.75,1798.0
1496.75,1800.25
1495.5,1803.0
1496.0,1805.0
1496.0,1808.0
1495.25,1810.0
1494.75,1812.75
1494.5,1815.0
1494.5,1817.0
1495.5,1820.0
1495.0,1822.0
1495.25,1824.75
1496.25,1827.0
1496.5,1829.0
1496.5,1832.0
1497.25,1835.0
1498.5,1838.0
1498.5,1840.0
1498.0,1842.0
1498.0,1845.0
1498.0,1847.0
1496.5,1850.0
1495.25,1852.0
1495.5,1854.0
1496.0,1857.0
1495.25,1859.0
1493.5,1862.0
1492.75,1864.0
1492.5,1866.0
1492.75,1869.0
1494.0,1871.0
1493.5,1874.0
1494.5,1876.0
1493.5,1879.25
1492.25,1882.0
1492.5,1884.0
1493.0,1887.0
1493.25,1889.0
1494.5,1891.25
1496.25,1894.0
1498.25,1896.0
1498.5,1899.0
1498.0,1901.0
1497.5,1903.5
1497.75,1906.0
1498.25,1908.0
1500.25,1911.0
1499.75,1913.0
1498.25,1915.75
1497.75,1918.0
1500.0,1921.0
1504.0,1924.0
1501.5,1926.0
1497.25,1928.75
1496.75,1931.0
1495.5,1933.0
1493.0,1936.0
1491.25,1938.0
1488.75,1941.0
