Value,Time
1493.75,852.0
1493.75,855.75
1494.0,858.0
1494.5,860.0
1494.25,863.0
1494.0,865.0
1493.5,867.0
1492.5,870.0
1492.25,872.0
1491.75,874.0
1491.75,877.0
1491.75,879.0
1492.0,881.0
1492.75,884.0
1493.25,886.0
1493.0,888.25
1493.0,891.0
1493.5,893.0
1492.75,896.75
1492.25,899.0
1492.75,901.0
1492.75,904.0
1492.5,906.0
1491.75,908.0
1491.0,911.0
1491.25,913.0
1491.25,915.0
1491.25,918.0
1492.0,920.0
1492.0,922.0
1492.25,925.0
1491.5,927.0
1491.0,929.75
1490.75,932.0
1490.0,934.0
1490.25,936.75
1490.0,940.0
1490.75,942.0
1491.5,945.0
1492.25,947.0
1492.75,949.0
1493.25,952.0
1493.75,954.0
1493.5,956.0
1493.0,959.0
1492.5,961.0
1492.5,963.25
1492.75,966.0
1492.25,968.0
1491.75,970.75
1491.25,973.0
1491.0,975.0
1490.75,978.0
1491.0,980.0
1491.0,983.0
1490.25,986.0
1490.25,988.0
1489.5,990.0
1489.25,993.0
1489.75,995.0
1491.25,997.0
1492.75,1000.0
1493.25,1002.0
1493.25,1005.0
1492.75,1007.0
1492.5,1009.0
1492.25,1012.0
1491.5,1014.0
1491.75,1017.0
1492.25,1019.0
1491.75,1021.0
1491.5,1025.0
1491.5,1027.0
1492.0,1030.0
1492.25,1032.0
1492.25,1034.25
1491.75,1037.0
1492.0,1039.0
1492.0,1042.0
1492.0,1044.0
1491.5,1046.25
1490.75,1049.0
1490.25,1051.0
1490.25,1054.0
1490.0,1056.0
1490.75,1058.5
1492.0,1061.0
1492.0,1063.0
1492.25,1067.0
1492.5,1069.0
1492.5,1071.75
1493.0,1074.0
1493.5,1076.0
1493.5,1079.0
1494.0,1081.0
1493.5,1083.75
1492.25,1086.0
1491.75,1088.0
1491.75,1091.0
1491.5,1093.0
1491.25,1095.75
1491.0,1098.0
1491.0,1100.0
1491.0,1103.0
1491.5,1105.0
1492.5,1107.75
1493.25,1111.0
1493.25,1113.0
1493.0,1116.0
1492.5,1118.0
1492.0,1121.0
1491.5,1123.0
1491.25,1125.25
1491.75,1128.0
1493.5,1130.0
1494.5,1133.0
1495.25,1135.0
1495.25,1137.25
1495.25,1140.0
1495.0,1142.0
1494.75,1145.0
1494.5,1147.0
1495.0,1149.25
1494.75,1153.0
1493.75,1155.0
1493.75,1158.0
1493.75,1160.0
1494.0,1162.75
1493.75,1165.0
1493.5,1167.0
1492.5,1170.0
1492.0,1172.0
1492.0,1174.75
1491.25,1177.0
1491.5,1179.0
1492.0,1182.0
1493.25,1184.0
1493.5,1186.75
1494.25,1189.0
1495.25,1191.0
1495.5,1195.0
1495.5,1197.0
1495.25,1200.0
1495.0,1202.0
1494.25,1204.0
1494.75,1207.0
1494.75,1209.0
1494.0,1212.0
1494.0,1214.0
1493.75,1216.25
1493.25,1219.0
1493.25,1221.0
1494.0,1224.0
1494.5,1226.0
1494.75,1228.25
1495.0,1231.0
1494.75,1233.0
1495.25,1236.0
1495.0,1239.0
1495.0,1241.5
1494.75,1244.0
1494.5,1246.0
1495.25,1249.0
1495.75,1251.0
1495.5,1253.5
1495.5,1256.0
1496.0,1258.0
1496.5,1261.0
1496.5,1263.0
1495.75,1265.75
1495.5,1268.0
1495.0,1270.0
1494.5,1273.0
1494.75,1275.0
1495.0,1278.0
1495.5,1281.0
1495.75,1283.0
1496.75,1286.0
1497.75,1288.0
1498.25,1291.0
1497.75,1293.0
1497.0,1295.0
1496.0,1298.0
1495.75,1300.0
1495.0,1303.0
1495.0,1305.0
1495.0,1307.25
1494.25,1310.0
1494.0,1312.0
1493.25,1315.0
1493.5,1317.0
1493.5,1319.25
1493.75,1323.0
1495.25,1325.0
1495.75,1328.0
1495.75,1330.0
1495.5,1332.25
1494.5,1335.0
1494.25,1337.0
1495.0,1340.0
1496.0,1342.0
1496.25,1344.5
1496.25,1347.0
1495.75,1349.0
1495.0,1352.0
1494.75,1354.0
1494.25,1356.5
1493.75,1359.0
1492.5,1361.0
1491.25,1364.0
1490.75,1367.0
1491.25,1369.75
1492.0,1372.0
1493.25,1374.0
1493.0,1377.0
1492.25,1379.0
1491.5,1382.0
1491.25,1384.0
1491.0,1386.0
1491.5,1389.0
1492.25,1391.0
1492.5,1394.0
1492.25,1396.0
1492.75,1398.25
1493.25,1401.0
1494.5,1403.0
1495.25,1406.0
1495.25,1409.0
1494.25,1411.25
1493.0,1414.0
1491.75,1416.0
1490.5,1419.0
1489.75,1421.0
1489.75,1423.25
1490.5,1426.0
1491.25,1428.0
1491.75,1431.0
1492.0,1433.0
1491.75,1435.25
1490.25,1438.0
1490.25,1440.0
1491.0,1443.0
1490.5,1445.0
1490.25,1447.5
1489.5,1451.0
1489.0,1453.0
1488.5,1456.0
1490.0,1458.0
1491.25,1460.5
1492.25,1463.0
1492.0,1465.0
1491.5,1468.0
1490.0,1470.0
1488.75,1472.75
1488.0,1475.0
1488.25,1477.0
1489.25,1480.0
1490.0,1482.0
1490.75,1484.75
1490.75,1487.0
